Company Name,Annual Revenue (US$ m)
Accolade Inc,170.358
Clovis Oncology Inc,164.522
Insmed Inc,164.413
Dicerna Pharmaceuticals Inc,164.307
Harmony Biosciences Holdings Inc,159.742
BioDelivery Sciences International Inc,156.471
RegenxBio Inc,154.567
Acorda Therapeutics Inc,152.967
Nektar Therapeutics,152.915
Mannatech Inc,151.407
Antares Pharma Inc,149.599
Knight Therapeutics Inc,148.7948
Atrion Corp,147.591
Kewaunee Scientific Corp,147.469
Castlight Health Inc,146.709
Alphatec Holdings Inc,144.861
Athenex Inc,144.391
Translate Bio Inc,138.811
Fluidigm Corp,138.144
Cara Therapeutics Inc,135.082
ImmunoGen Inc,132.299
Anika Therapeutics Inc,130.457
Surface Oncology Inc,126.162
Frontage Holdings Corp,125.811
Candel Therapeutics Inc,125
SIGA Technologies Inc,124.9593
Vericel Corp,124.179
Global Blood Therapeutics Inc,123.803
Xencor Inc,122.694
Enanta Pharmaceuticals Inc,122.473
Catalyst Pharmaceuticals Inc,119.0728
Natural Alternatives International Inc,118.876
Sangamo Therapeutics Inc,118.192
NanoString Technologies Inc,117.32
Portola Pharmaceuticals Inc,116.64
Inspire Medical Systems Inc,115.381
NL Industries Inc,114.537
AxoGen Inc,112.3
Axonics Inc,111.53
Rigel Pharmaceuticals Inc,108.621
Schrodinger Inc,108.095
Karyopharm Therapeutics Inc,108.085
Assertio Holdings Inc,106.275
MacroGenics Inc,104.883
Precigen Inc,103.178
Harvard Bioscience Inc,102.1
RTI Surgical Inc,101.749
CytomX Therapeutics Inc,100.362
Adaptive Biotechnologies Corp,98.382
InfuSystem Holdings Inc,97.388
The Population Council Inc,96.871
Cempra Inc (Inactive),96.43
Spinal Elements Holdings??Inc,95.916
Avid Bioservices Inc,95.868
SurModics Inc,94.864
Acceleron Pharma Inc,92.523
Editas Medicine Inc,90.732
Twist Bioscience Corp,90.1
Heron Therapeutics Inc,88.638
Verastem Inc,88.516
Agenus Inc,88.17
Arrowhead Pharmaceuticals Inc,87.9921
NGM Biopharmaceuticals Inc,87.37
Flexion Therapeutics Inc,85.552
United Soybean Board,83.4119
Aerie Pharmaceuticals Inc,83.138
Catasys Inc,82.837
Luna Innovations Inc,82.681
Relay Therapeutics Inc,82.654
Insys Therapeutics Inc (Inactive),82.08
Zyla Life Sciences Inc (Inactive),81.3
Intersect ENT Inc,80.554
Zynex Inc,80.122
Medexus Pharmaceuticals Inc,79.66
Assembly Biosciences Inc,79.105
Pacific Biosciences of California Inc,78.893
CryoPort Inc,78.696
Personalis Inc,78.648
Arcus Biosciences Inc,77.517
Protech Home Medical Corp,77.3072
Sharps Compliance Corp,76.424
Vir Biotechnology Inc,76.368
Enzo Biochem Inc,76.021
Legend Biotech Corp,75.676
AnaptysBio Inc,75
Co-Diagnostics Inc,74.5528
Adamas Pharmaceuticals Inc,74.461
Progenity Inc,74.313
Omeros Corp,73.813
SI-Bone Inc,73.387
NantHealth Inc,73.172
Codexis Inc,69.056
Livongo Health Inc,68.43
Recro Pharma Inc,66.499
Theratechnologies Inc,66.053
MannKind Corp,65.144
ChemoCentryx Inc,64.89
TherapeuticsMD Inc,64.8723
Spark Therapeutics Inc,64.725
Neos Therapeutics Inc,64.649
Muscle Pharm Corp,64.44
Berkeley Lights Inc,64.303
Biohaven Pharmaceutical Holding Company Ltd,63.627
Castle Biosciences Inc,62.649
Jounce Therapeutics Inc,62.339
Rockwell Medical Inc,62.197
Natural Health Trends Corp,62.071
"Inotiv, Inc",60.469
ChromaDex Corp,59.257
Intellia Therapeutics Inc,57.994
Evolus Inc,56.54
HLS Therapeutics Inc,56.109
Cytokinetics Inc,55.828
Nuvo Pharmaceuticals Inc,55.019
Integrated BioPharma Inc,52.769
Alimera Sciences Inc,50.82
Aurinia Pharmaceuticals Inc,50.118
Outset Medical Inc,49.935
OptiNose Inc,49.117
Harrow Health Inc,48.871
Atea Pharmaceuticals Inc,48.633
Biolife Solutions Inc,48.087
Paratek Pharmaceuticals Inc,46.924
Dynavax Technologies Corp,46.551
Bioqual Inc,46.3602
CannTrust Holdings Inc,46.1062
Aquestive Therapeutics Inc,45.849
Fortress Biotech Inc,45.599
Biodesix Inc,45.557
Teligent Inc,45.309
G1 Therapeutics Inc,45.285
Morphic Holding Inc,44.945
XBiotech Inc,43.997
Revolution Medicines Inc,42.983
Sutro Biopharma Inc,42.722
Aziyo Biologics Inc,42.682
Veru Inc,42.5921
ADMA Biologics Inc,42.2198
Deciphera Pharmaceuticals Inc,42.087
Apollo Endosurgery Inc,42.048
Pliant Therapeutics Inc,41.817
Minerva Neurosciences Inc,41.1756
NeuroPace Inc,41.138
Champions Oncology Inc,41.04
CytoSorbents Corp,41.0046
Sorrento Therapeutics Inc,39.986
Zymeworks Inc,38.951
BioSpecifics Technologies Corp,38.1878
Weyland Tech Inc,37.9104
Frontier Acquisition Corp,37.7486
Cumberland Pharmaceuticals Inc,37.4411
Frequency Therapeutics Inc,36.984
Reliv International Inc,35.0553
SpringWorks Therapeutics Inc,35
Neptune Wellness Solutions Inc,34.9093
EyePoint Pharmaceuticals Inc,34.437
"Kymera Therapeutics, Inc",34.034
JanOne Inc,33.867
La Jolla Pharmaceutical Company,33.419
Canabo Medical Inc,33.218
Seres Therapeutics Inc,33.215
C4 Therapeutics Inc,33.195
Pulmonx Corp,32.733
Interpace Biosciences Inc,32.398
Cyanotech Corp,32.345
Aoxing Pharmaceutical Company Inc,32.3295
Xenon Pharmaceuticals Inc,32.166
Fate Therapeutics Inc,31.434
Alpha Teknova Inc,31.297
Cryo-Cell International Inc,31.1476
Strongbridge Biopharma plc,30.731
DURECT Corp,30.111
Acacia Research Corp,29.782
iCAD Inc,29.698
Opiant Pharmaceuticals Inc,29.6252
XOMA Corp,29.385
Synergy CHC Corp,29.3575
Pieris Pharmaceuticals Inc,29.323
Avadim Health Inc,29.0431
MEI Pharma Inc,28.913
Protagonist Therapeutics Inc,28.628
HemaCare Corp,28.506
22nd Century Group Inc,28.111
Aytu BioPharma Inc,27.6321
Yew Bio-Pharm Group Inc,27.3077
MediPharm Labs Corp,26.8566
Eidos Therapeutics Inc (Inactive),26.69
MaxCyte Inc,26.1689
Turning Point Therapeutics Inc,25
CV Sciences Inc,24.429
Precision Biosciences Inc,24.285
Lexicon Pharmaceuticals Inc,23.995
Emmaus Life Sciences Inc,23.167
Intra-Cellular Therapies Inc,22.813
NextCure Inc,22.378
Arvinas Inc,21.8018
Cipher Pharmaceuticals Inc,21.607
Pharma-Bio Serv Inc,21.5644
Psychemedics Corp,21.36
Alector Inc,21.098
SQZ Biotechnologies Co,20.998
VYNE Therapeutics Inc,20.993
Catalyst Biosciences Inc,20.948
Y-mAbs Therapeutics Inc,20.75
XERIS Pharmaceuticals Inc,20.435
Titan Medical Inc,20
Hookipa Pharma Inc,19.584
Ideaya Biosciences Inc,19.538
"ViaDerma, Inc.",19.0076
Molecular Templates Inc,18.845
Sonoma Pharmaceuticals Inc,18.629
Elite Pharmaceuticals Inc,17.9946
Adicet Bio Inc,17.903
American Shared Hospital Services,17.837
Nurix Therapeutics Inc,17.82
BioCryst Pharmaceuticals Inc,17.812
Micron Solutions Inc,17.4994
Harpoon Therapeutics Inc,17.444
Ocular Therapeutix Inc,17.403
BioSyent Inc,16.6546
Exicure Inc,16.613
Selecta Biosciences Inc,16.597
Adamis Pharmaceuticals Corp,16.5274
Psomagen Inc,16.106
Epizyme Inc,15.762
Forty Seven Inc,15.678
MeiraGTx Holdings Plc,15.563
Scholar Rock Holding Corp,15.403
Revance Therapeutics Inc,15.325
PDL BioPharma Inc,15.321
CASI Pharmaceuticals Inc,15.141
Syros Pharmaceuticals Inc,15.093
"United Treatment Centers, Inc.",15.0608
Aerpio Pharmaceuticals Inc,15
RxSight Inc,14.678
Monell Chemical Senses Center,14.61
ProPhase Labs Inc,14.514
Urologix Inc,14.235
MYOS RENS Technology Inc,13.968
Radient Technologies Inc,13.8735
Ambrx Biopharma Inc,13.671
Zogenix Inc,13.643
4D Molecular Therapeutics Inc,13.612
Mirati Therapeutics Inc,13.398
Sigilon Therapeutics Inc,13.374
ImmunoPrecise Antibodies Ltd,13.3582
KemPharm Inc,13.288
Zymergen Inc,13.284
Five Prime Therapeutics Inc,13.178
Inhibrx Inc,12.888
IMAC Holdings Inc,12.8352
Pulmatrix Inc,12.634
Ovid Therapeutics Inc,12.6172
Caribou Biosciences Inc,12.361
Cidara Therapeutics Inc,12.067
Puretech Health Plc,11.768
Crescita Therapeutics Inc,11.6638
Viela Bio Inc,11.652
Ceapro Inc,11.277
F-star Therapeutics Inc,11.256
Sesen Bio Inc,11.236
Curis Inc,10.835
aTyr Pharma Inc,10.455
Oregon Research Institute,10.31
GlycoMimetics Inc,10.1629
PolarityTE Inc,10.126
Regulus Therapeutics Inc,10.006
Abeona Therapeutics Inc,10
NovaBay Pharmaceuticals Inc,9.934
Shattuck Labs Inc,9.934
CB2 Insights Inc,9.8003
ThermoGenesis Holdings Inc,9.744
IsoRay Inc,9.68
Arcturus Therapeutics Holdings Inc,9.539
Jaguar Health Inc,9.385
International Isotopes Inc,9.3649
Alpine Immune Sciences Inc,9.335
Spero Therapeutics Inc,9.33
Ikena Oncology Inc,9.194
Reata Pharmaceuticals Inc,9.019
Probility Media Corp,8.914
Fulcrum Therapeutics Inc,8.823
Pandion Therapeutics Inc,8.779
TEC Edmonton,8.7726
Avinger Inc,8.761
Emerald Health Therapeutics Inc,8.7553
Achaogen Inc (Inactive),8.728
Medicure Inc,8.6584
Scientific Industries Inc,8.5703
HTG Molecular Diagnostics Inc,8.5489
Albireo Pharma Inc,8.308
Kadmon Holdings Inc,8.288
BridgeBio Pharma Inc,8.249
Altimmune Inc,8.185
PharmAthene Inc (Inactive),8.185
Ispecimen Inc,8.1841
Institute for Clinical Evaluative Sciences,8.1148
Microbix Biosystems Inc,7.9337
Concert Pharmaceuticals Inc,7.902
Clearside BioMedical Inc,7.894
Cogent Biosciences Inc,7.871
Lyell Immunopharma Inc,7.756
DATATRAK International Inc,7.7426
Finch Therapeutics Group Inc,7.719
Orgenesis Inc,7.652
Myomo Inc,7.5834
DarioHealth Corp,7.576
Ardelyx Inc,7.571
Nuwellis Inc,7.441
Celldex Therapeutics Inc,7.418
Inovio Pharmaceuticals Inc,7.4112
Antibe Therapeutics Inc,7.2436
Rennova Health Inc,7.2001
International Stem Cell Corp,7.128
MaRS Discovery District,7.0407
Arbutus Biopharma Corp,6.914
Yumanity Therapeutics Inc,6.896
Tower One Wireless Corp,6.8059
Avidity Biosciences Inc,6.787
Avalo Therapeutics Inc,6.6986
Codex DNA Inc,6.576
Aclaris Therapeutics Inc,6.482
vTv Therapeutics Inc,6.414
Kala Pharmaceuticals Inc,6.362
Precipio Inc,6.092
CVRx Inc,6.053
"Pacific Health Care Organization, Inc.",6.0427
AVEO Pharmaceuticals Inc,6.019
Brooklyn ImmunoTherapeutics Inc,5.8
Cancer Genetics Inc,5.751
Aravive Inc,5.685
Longeveron Inc,5.6295
AcelRx Pharmaceuticals Inc,5.416
Chimerix Inc,5.372
TransCanna Holdings Inc,5.2445
Salarius Pharmaceuticals Inc,5.2333
RAPT Therapeutics Inc,5.042
Novan Inc,4.92
Polydex Pharmaceuticals Ltd,4.8562
Titan Pharmaceuticals Inc,4.838
AbSci Corp,4.78
Aspira Womens Health Inc,4.651
SETO Holdings Inc,4.638
IGI Inc,4.58
Procyon Corp,4.3341
Aptevo Therapeutics Inc,4.309
American Bio Medica Corp,4.147
Vaxart Inc,4.046
Gritstone Bio Inc,4.037
Recursion Pharmaceuticals Inc,3.962
Corbus Pharmaceuticals Holdings Inc,3.9372
IBEX Technologies Inc,3.9272
EVIO Inc,3.7898
Ayala Pharmaceuticals Inc,3.708
"Oncologix Tech, Inc.",3.6775
"Grapefruit USA, Inc??",3.6723
Aeterna Zentaris Inc,3.652
Acura Pharmaceuticals Inc,3.57
Logicbio Therapeutics Inc,3.454
Oncternal Therapeutics,3.375
Nexeon MedSystems Inc,3.3028
U.S. Neurosurgical Inc,3.173
Cue Biopharma Inc,3.1543
Trevena Inc,3.069
Bioasis Technologies Inc,3.0413
Kolon TissueGene Inc,3.0133
X4 Pharmaceuticals Inc,3
Heat Biologics Inc,2.948
Codiak BioSciences Inc,2.915
Angion Biomedica Corp,2.88
Qualigen Therapeutics Inc,2.8496
Medifocus Inc,2.7667
Oramed Pharmaceuticals Inc,2.71
Homology Medicines Inc,2.702
Acusphere Inc,2.684
Generex Biotechnology Corp,2.6614
Mirna Therapeutics Inc,2.52
Liminal BioSciences Inc,2.4737
Lattice Biologics Ltd,2.4643
Longport Inc,2.457
Applied Genetic Technologies Corp,2.453
Soligenix Inc,2.3594
Immuneering Corp,2.311
Cyclerion Therapeutics Inc,2.296
Adynxx Inc,2.216
Aeolus Pharmaceuticals Inc,2.076
Histogen Inc,2.059
AXM Pharma Inc,2.022
Cocrystal Pharma Inc,2.014
Eyenovia Inc,2
Aequus Pharmaceuticals Inc,1.9335
Applied DNA Sciences Inc,1.9315
SELLAS Life Sciences Group Inc,1.9
Guardion Health Sciences Inc,1.8898
AgeX Therapeutics Inc,1.868
Lineage Cell Therapeutics Inc,1.826
GeoVax Labs Inc,1.8237
Brickell Biotech Inc,1.822
Mercer Park Brand Acquisition Corp.,1.7428
Mateon Therapeutics Inc,1.7409
Infinity Pharmaceuticals Inc,1.719
Marinus Pharmaceuticals Inc,1.718
Delcath Systems Inc,1.646
iBio Inc,1.638
Icosavax Inc,1.616
Dyadic International Inc,1.6019
Spectral Medical Inc,1.5669
BG Medicine Inc,1.566
Aptinyx Inc,1.564
IntelGenx Technologies Corp,1.544
Syndax Pharmaceuticals Inc,1.517
Leap Therapeutics Inc,1.5
Athersys Inc,1.44
Acumen Pharmaceuticals Inc,1.436
Intellipharmaceutics International Inc,1.4015
Avalon GloboCare Corp,1.3778
Nuo Therapeutics Inc,1.3706
Affymax Inc,1.369
Genocea Biosciences Inc,1.359
Northwest Biotherapeutics Inc,1.291
Predictive Oncology Inc,1.2523
Prometheus Biosciences Inc,1.229
OncoCyte Corp,1.216
ALX Oncology Holdings Inc,1.182
Chiasma Inc,1.106
VistaGen Therapeutics Inc,1.0895
Acerus Pharmaceuticals Corp,1.085
TScan Therapeutics Inc,1.085
Checkpoint Therapeutics Inc,1.069
Jupiter Wellness Inc,1.0657
VBI Vaccines Inc,1.061
Viridian Therapeutics Inc,1.05
LC Luxuries Ltd,1.0465
Femasys Inc,1.0379
"Clubhouse Media Group Inc.,",1.0104
Kane Biotech Inc,1.0005
Aridis Pharmaceuticals Inc,1
Eau Technologies Inc,0.9913
Kaleido Biosciences Inc,0.975
Quick-Med Technologies Inc,0.9285
Navidea Biopharmaceuticals Inc,0.915
Cyclo Therapeutics Inc,0.9034
India Globalization Capital Inc,0.898
Innovotech Inc,0.89
American Scientific Resources Inc,0.8624
Summit Therapeutics Inc,0.86
Mersana Therapeutics Inc,0.828
Chinook Therapeutics Inc,0.827
Armata Pharmaceuticals Inc,0.82
Yield10 Bioscience Inc,0.799
Braxia Scientific Corp,0.752
Nascent Biotech Inc,0.75
Agile Therapeutics Inc,0.749
Aperture Health Inc,0.746
Liquidia Technologies Inc,0.7396
ULURU Inc,0.7172
Inhibikase Therapeutics Inc,0.6985
Theralase Technologies Inc,0.6929
Acro Biomedical Co Ltd,0.688
Aethlon Medical Inc,0.6591
Cybin Inc,0.6444
Vaccinex Inc,0.625
CEL-SCI Corp,0.5587
American CryoStem Corp,0.5579
HealthCor Catalio Acquisition Corp,0.548
Synlogic Inc,0.545
Cardax Inc,0.539
Callitas Therapeutics Inc,0.5345
Bellicum Pharmaceuticals Inc,0.5
Celsion Corp,0.5
Baudax Bio Inc,0.493
Marker Therapeutics Inc,0.4668
SPO Global Inc,0.461
Evofem Biosciences Inc,0.446
Xenetic Biosciences Inc,0.4369
Foghorn Therapeutics Inc,0.43
BioAtla Inc,0.429
Innovation Pharmaceuticals Inc,0.423
IMD Companies Inc,0.3946
Lexaria Bioscience Corp,0.3845
Cure Pharmaceutical Holding Corp,0.376
Cardiff Oncology Inc,0.366
Cellular Biomedicine Group Inc,0.3399
SeqLL Inc,0.33
Edesa Biotech Inc,0.3288
PhaseBio Pharmaceuticals Inc,0.32
Arena Pharmaceuticals Inc,0.319
Glucose Health Inc,0.3132
Humanigen Inc,0.312
Capricor Therapeutics Inc,0.3103
Plus Therapeutics Inc,0.303
Sierra Oncology Inc,0.3
Halberd Corp,0.2975
U.S. Stem Cell Inc,0.2771
Skinvisible Inc,0.2756
Otonomy Inc,0.273
RepliCel Life Sciences Inc,0.2638
Cleveland BioLabs Inc,0.2629
XPhyto Therapeutics Corp,0.2578
Savara Inc,0.257
Advaxis Inc,0.253
Geron Corp,0.253
IMV Inc,0.2407
CorMedix Inc,0.2392
Bolt Biotherapeutics Inc,0.231
Onconova Therapeutics Inc,0.231
Design Therapeutics Inc,0.226
Zosano Pharma Corp,0.224
Clene Inc,0.206
Diagnos Inc,0.1992
Marizyme Inc,0.1971
Acasti Pharma Inc,0.196
BeyondSpring Inc,0.18
Fennec Pharmaceuticals Inc,0.17
Lumos Pharma Inc,0.168
AIM ImmunoTech Inc,0.163
Matinas BioPharma Holdings Inc,0.1583
TG Therapeutics Inc,0.152
Trillium Therapeutics Inc,0.148
BioCardia Inc,0.145
Instil Bio Inc,0.138
Repare Therapeutics Inc,0.135
Mydecine Innovations Group Inc,0.1299
Avicanna Inc,0.1268
Advantagene Inc,0.125
USA Equities Corp,0.1245
"Advanced BioMedical Technologies, Inc.",0.1236
Ceres Acquisition Corp,0.1228
BioCorRx Inc,0.1226
Viracta Therapeutics Inc,0.12
Palatin Technologies Inc,0.118
Rich Pharmaceuticals Inc,0.115
NantKwest Inc,0.111
Regen BioPharma Inc,0.11
Flora Growth Corp,0.106
Nutra Pharma Corp,0.1044
Sirona Biochem Corp,0.0797
BioRestorative Therapies Inc,0.077
RegeneRx Biopharmaceuticals Inc,0.0768
International Consolidated Companies Inc,0.0733
Sunshine Biopharma Inc,0.0714
Crinetics Pharmaceuticals Inc,0.071
BlueOcean NutraSciences Inc,0.0681
Therapeutic Solutions International Inc,0.0627
NeutriSci International Inc,0.0556
Enzon Pharmaceuticals Inc,0.052
Arch Biopartners Inc,0.0512
ANBC Inc,0.051
MultiCell Technologies Inc,0.0493
CipherLoc Corp,0.048
Miromatrix Medical Inc,0.0465
Ocugen Inc,0.0426
Silo Pharma Inc,0.0409
Eton Pharmaceuticals Inc,0.039
Dipexium Pharmaceuticals Inc (Inactive),0.0304
PLx Pharma Inc,0.0304
Q BioMed Inc,0.03
Gain Therapeutics Inc,0.0289
Ecosciences Inc,0.0259
Sera Prognostics Inc,0.025
Avricore Health Inc,0.0246
Beam Therapeutics Inc,0.024
MetaStat Inc,0.0233
Evoke Pharma Inc,0.023
Zivo Bioscience Inc,0.02
Amarillo Biosciences Inc,0.0166
BELLUS Health Inc,0.015
Technology Health Inc,0.0143
"Palisade Bio, Inc",0.0135
EyeGate Pharmaceuticals Inc,0.0121
Inmune Bio Inc,0.0109
Oncology Pharma Inc,0.0102
Bespoke Extracts Inc,0.0081
Cannabics Pharmaceuticals Inc,0.0072
Nymox Pharmaceutical Corp,0.005
Vilacto Bio Inc,0.0049
Accelera Innovations Inc,0.0028
ProMIS Neurosciences Inc,0.0013
